#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,ack,from,q
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T18:17:00Z,77.1,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T18:25:00Z,77.7,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T18:36:00Z,0,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T18:51:00Z,1,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T19:06:00Z,2,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T19:21:00Z,3,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T19:36:00Z,4.1,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T19:51:00Z,5.1,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T20:06:00Z,6.2,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T20:21:00Z,7.2,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T20:36:00Z,8.2,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,0,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T20:51:00Z,9.3,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.hm-rpc.0,0
,,1,2021-12-20T14:52:47.521787489Z,2021-12-20T20:52:47.521787489Z,2021-12-20T18:13:00Z,76.7,value,EG Flur Schuhschrank Strom Kanal 6 - Energiezähler - (Wattstunden),true,system.adapter.influxdb.1,0

